Date,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Currency,Unit_of_Measure
2010-08-06,0.0017,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-09,0.0017,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-10,0.00168,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-11,0.00165,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-12,0.00167,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-13,0.00165,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-18,0.00195,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-19,0.0019,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-20,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-21,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-22,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-25,0.00196,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-27,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-28,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-29,0.00189,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-01,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-02,0.00194,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-03,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-04,0.00198,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-05,0.002,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-08,0.002,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-09,0.00205,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-10,0.00201,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-11,0.00204,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-12,0.00197,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-15,0.00199,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-16,0.00189,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-17,0.00189,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-18,0.00194,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-19,0.00194,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-22,0.0019,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-23,0.00188,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-24,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-25,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-26,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-29,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-11-30,0.00194,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-01,0.002,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-02,0.00202,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-12-03,0.00202,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
