Date,Spot
2016-05-22,4655.2
2016-05-29,4662.9
2016-06-05,4587.1
2016-06-12,4540.7
2016-06-19,4653.9
2016-06-26,4772.0
2016-07-03,4780.3
2016-07-10,4866.6
2016-07-17,4917.4
2016-07-24,4873.3
2016-07-31,4843.3
2016-08-07,4801.1
2016-08-14,4775.2
2016-08-21,4674.2
2016-08-28,4612.1
2016-09-04,4621.8
2016-09-11,4673.9
2016-09-18,4765.5
2016-09-25,4805.0
2016-10-02,4771.8
2016-10-09,4763.9
2016-10-16,4650.0
2016-10-23,4723.8
2016-10-30,4884.4
2016-11-06,5386.0
2016-11-13,5479.8
2016-11-20,5674.9
2016-11-27,5792.5
2016-12-04,5854.6
2016-12-11,5717.8
2016-12-18,5490.6
2016-12-25,5493.0
2017-01-01,5546.6
2017-01-08,5690.5
2017-01-15,5753.1
2017-01-22,5851.6
2017-01-29,5889.6
2017-02-05,5837.6
2017-02-12,6045.2
2017-02-19,5976.8
2017-02-26,5961.4
2017-03-05,5762.9
2017-03-12,5838.2
2017-03-19,5788.3
2017-03-26,5800.8
2017-04-02,5798.1
2017-04-09,5694.4
2017-04-16,5617.7
2017-04-23,5663.4
2017-04-30,5614.125
2017-05-07,5514.9
2017-05-14,5566.2
2017-05-21,5667.2
2017-05-28,5604.875
2017-06-04,5617.8
2017-06-11,5677.6
2017-06-18,5704.1
2017-06-25,5839.0
